"SKUID","Description","QTY Sold","Total","Vat","Discount"
"5017289001722","4 IN 1 FACIAL CLEANSING WIPES","12","12.00","2.04","0.00"
"5011309052916","Acetone Solvent 50ml","4","11.56","1.92","0.00"
"5099514400210","ADULT WATERWIPES","16","56.00","9.28","0.00"
"5012251008136","BEAUTY FORMULAS feminine intimate wipes   20","4","4.00","0.68","0.00"
"5012616291715","Beconase H/fever Ad100 Spray","4","31.96","5.32","0.00"
"5017848254927","BELLS OTC medicines analgesics paracetamol caplets 500mg  32","12","18.00","3.00","0.00"
"5017371134826","CALYPSO sun protection continuous spray spf30 175ml","4","29.96","5.00","0.00"
"5017371153780","CALYPSO travel pack sun lotion SPF15 & 20 after sun 100ml 3","4","30.76","5.12","0.00"
"4024787430535","Celluvisc Dry Eye .5% 30x0.4ml Dry Eye Preparation  0.5%","4","34.56","5.76","0.00"
"5054563126719","CENTRUM MEN 30 TABLETS","4","32.24","5.36","0.00"
"5030451003454","Cetraben Cream 500g","4","45.92","7.64","0.00"
"5030451003430","Cetraben Emoll Crm 50g","4","10.80","1.80","0.00"
"96186886","Chapstick Cherry","4","5.96","1.00","0.00"
"5013548102087","Charcoal Tablets 50s","4","23.96","4.00","0.00"
"5010605400339","CLARINAZE NASAL SPRAY","4","49.24","8.20","0.00"
"5060013941610","CO CODAMOL 8MG/500MG","4","15.96","2.68","0.00"
"5060003780588","CO-Codamol Eff 8/500mg 32s","8","47.92","8.00","0.00"
"5011309440614","Covonia Cough Original","4","7.20","1.20","0.00"
"5010605190018","Cystopurin Granules 6 X 7g Cranberry  3g","4","33.56","5.60","0.00"
"5012674021101","Daktarin Crm Dual Act 2% 15g Cream  2%","4","20.36","3.40","0.00"
"3574660569834","Daktarin Intensive Cream 15g","4","30.76","5.12","0.00"
"5011501040100","Deep Heat Heat Rub 100g Heat Rub","4","21.80","3.64","0.00"
"5011501003259","Deep Heat Patch x4","4","33.00","5.52","0.00"
"5011417566299","Dettol Hand Hygiene Gel","4","7.20","1.20","0.00"
"5021265242252","DIABETONE tablets  30","4","40.64","6.76","0.00"
"5060057400111","DISPERSIBLE ASPIRIN 75mg 100 TABS","4","10.20","1.72","0.00"
"5000283661900","DULCOLAX TWELVE PLUS 5MG 40TAB","4","23.28","3.88","0.00"
"7350087736440","E45 body lotion daily 400ml","4","25.96","4.32","0.00"
"60018793","Elastoplast Roll Plaster","12","44.88","7.48","0.00"
"96190968","EURAX HC CREAM","8","39.92","6.64","0.00"
"5017289002316","FACIAL WIPES ","4","4.00","0.68","0.00"
"5017289002439","FACIAL WIPES ULTRA SENSITIVE","4","4.00","0.68","0.00"
"5010724525951","FEMFRESH body fresheners range soothing wash 250ml","8","26.32","4.40","0.00"
"5010724526149","Femfresh Wipes 25s","4","11.96","2.00","0.00"
"6921756492434","FLOWFLEX lateral flow test kits  5","4","36.00","6.00","0.00"
"5000158066656","Fybogel Hi Fibre Lemon 10 Sac","4","15.96","2.68","0.00"
"5017353506474","GALPHARM treathay tablets f/c 120mg  10","4","15.96","2.68","0.00"
"5017353506481","GALPHARM treathay tablets f/c 120mg  30","4","27.96","4.68","0.00"
"5011309060010","Glycerin Adult Suppos 12s","4","19.92","3.32","0.00"
"50658053","Halls Cherry","4","3.40","0.56","0.00"
"5060057403136","IBUPROFEN AMD CODEINE","4","33.96","5.68","0.00"
"6003058068002","KEDLEY KNEE SUPPORT S","4","25.96","3.44","5.20"
"4987072011157","Koolnsoothe Child 4","4","10.80","1.80","0.00"
"5060057402894","Lactulose 500ml","4","35.96","6.00","0.00"
"5010934001481","Lanacane Med Crm 30g","4","16.76","2.80","0.00"
"5000158065420","Lemsip Max C/fl Dy/nght 16 Capsules","4","21.96","3.68","0.00"
"5017007388258","LOPERAMIDE 2MG","12","46.08","7.68","0.00"
"5060057403518","LORATADINE 10MG","4","14.92","2.48","0.00"
"5060126090366","MELBOURNE SPRING WATER","4","4.00","0.68","0.00"
"5000223414740","MELOLIN ADHESIVE low-adhesive absorbent dressing pads consumer/OTC pack  8.3cm x 6cm 5","4","14.16","2.36","0.00"
"5000223414627","Melolin Dressing Pads 10x10cm","12","56.16","9.36","0.00"
"3574660436174","NICORETTE chewing gum freshmint 2mg  30","4","30.08","1.44","0.00"
"5000347062193","Night Nurse 160ml","4","35.96","6.00","0.00"
"5010441000878","NUMARK OTC medicines allergy eye drops 10ml","4","19.96","3.32","0.00"
"5011417589229","NUROFEN PLUS IBUPROFEN.CODEINE 24TAB","16","156.80","26.08","0.00"
"5012616291654","NYTOL ONE A NGT 20 TABLETS","4","32.76","5.48","0.00"
"5011309010213","Olive Oil","4","15.96","2.68","0.00"
"5052197053623","OPTREX eye drops hayfever relief 2% 10ml","4","25.96","4.32","0.00"
"50483464","Optrex Infected Eye Drops","4","31.96","5.32","0.00"
"5060057403273","PARACETAMOL","4","6.00","1.00","0.00"
"5017123055225","PARACETAMOL CAPS 500mg 16","4","2.20","0.36","0.00"
"4084500846548","PeptO-Bismol 120ml","8","27.60","4.64","0.00"
